reward/player_1,reward/player_0,rollout/exploration_rate,time/step,train/loss,train/n_updates,train/learning_rate
2451.0,56.0,0.05,62,0.0004361560775053022,62000,0.0005
2411.0,75.0,0.05,63,0.00029849896929385976,63000,0.0005
2344.0,147.0,0.05,64,0.0002466769524094161,64000,0.0005
2318.0,153.0,0.05,65,0.00037913764238305705,65000,0.0005
2426.0,70.0,0.05,66,0.0003509936394170836,66000,0.0005
2451.0,83.0,0.05,67,0.00020866083303349114,67000,0.0005
2369.0,137.0,0.05,68,0.0002275357240221183,68000,0.0005
2410.0,64.0,0.05,69,0.00041873473174973696,69000,0.0005
2391.0,80.0,0.05,70,0.008881186234493044,70000,0.0005
2425.0,71.0,0.05,71,0.00015540377690103924,71000,0.0005
2390.0,76.0,0.05,72,0.00023875383418908315,72000,0.0005
2403.0,82.0,0.05,73,0.0002534246892159899,73000,0.0005
2277.0,229.0,0.05,74,0.0003592357295048032,74000,0.0005
2456.0,105.0,0.05,75,0.00028494592587139777,75000,0.0005
2302.0,215.0,0.05,76,0.00031143133285672773,76000,0.0005
2422.0,109.0,0.05,77,0.0003573293854710755,77000,0.0005
2387.0,142.0,0.05,78,0.00022146211764834334,78000,0.0005
2400.0,150.0,0.05,79,0.00031481548775263947,79000,0.0005
2405.0,83.0,0.05,80,0.007735695331889474,80000,0.0005
220.0,2237.0,0.05,81,0.00022846896083819957,81000,0.0005
2355.0,82.0,0.05,82,0.001785008532115171,82000,0.0005
2277.0,240.0,0.05,83,0.00025847825884648046,83000,0.0005
2404.0,137.0,0.05,84,0.0001912878471807744,84000,0.0005
2432.0,64.0,0.05,85,0.0005321472308833108,85000,0.0005
2228.0,272.0,0.05,86,0.0001652794213409834,86000,0.0005
2221.0,216.0,0.05,87,0.00040826834021390825,87000,0.0005
2171.0,257.0,0.05,88,0.00023374028364560217,88000,0.0005
2396.0,121.0,0.05,89,0.00030724602207646967,89000,0.0005
2406.0,103.0,0.05,90,0.008955214766386234,90000,0.0005
2382.0,115.0,0.05,91,0.0001922964615782803,91000,0.0005
2402.0,136.0,0.05,92,0.0002740682040507636,92000,0.0005
2441.0,151.0,0.05,93,0.0004967228006325968,93000,0.0005
2290.0,224.0,0.05,94,0.00019564638503607058,94000,0.0005
2261.0,251.0,0.05,95,0.0006331118122657244,95000,0.0005
2395.0,80.0,0.05,96,0.00028076762520504417,96000,0.0005
2415.0,94.0,0.05,97,0.00037866920415581263,97000,0.0005
2505.0,66.0,0.05,98,0.000293976530791042,98000,0.0005
2415.0,70.0,0.05,99,0.00033853165637674467,99000,0.0005
