Round,a\b,G,C,P
,C,3,7,6
,P,7,8,2

Round 98
,G,5,12,14
,C,20,11,16
,P,11,11,0

Round 99
,G,5,42,19
,C,6,12,5
,P,1,10,0

Round 100
,G,7,5,0
,C,42,21,6
,P,11,8,0

Round 101
,G,1,35,15
,C,1,20,15
,P,0,13,0

Round 102
,G,2,1,2
,C,28,21,23
,P,10,13,0

Round 103
,G,0,30,9
,C,3,12,10
,P,0,32,4

Round 104
,G,0,1,0
,C,34,11,37
,P,8,9,0

Round 105
,G,0,34,8
,C,3,18,12
,P,4,19,2

Round 106
,G,0,1,0
,C,39,22,16
,P,7,15,0

Round 107
,G,1,39,7
,C,1,21,15
,P,0,16,0

Round 108
,G,1,3,0
,C,35,12,26
,P,10,12,1

Round 109
,G,3,28,10
,C,5,18,17
,P,0,17,2

Round 110
,G,0,7,2
,C,32,19,17
,P,8,12,3

Round 111
,G,0,31,3
,C,2,26,7
,P,0,31,0

Round 112
,G,0,1,0
,C,51,16,17
,P,3,11,1

Round 113
,G,0,35,9
,C,1,17,15
,P,0,23,0

Round 114
,G,1,2,0
,C,32,16,24
,P,11,14,0

Round 115
,G,3,21,11
,C,10,14,7
,P,10,21,3

Round 116
,G,0,1,0
,C,43,16,17
,P,14,9,0

Round 117
,G,2,33,10
,C,2,29,9
,P,0,10,5

Round 118
,G,0,1,0
,C,37,23,17
,P,12,8,2

Round 119
,G,1,31,9
,C,2,27,8
,P,0,19,3

Round 120
,G,1,2,0
,C,29,18,25
,P,13,9,3

Round 121
,G,3,9,13
,C,17,5,8
,P,13,26,6

Round 122
,G,5,12,9
,C,6,17,24
,P,10,14,3

Round 123
,G,2,10,16
,C,6,12,17
,P,4,27,6

Round 124
,G,3,6,4
,C,7,15,22
,P,8,19,16

Round 125
,G,1,0,10
,C,10,19,11
,P,0,30,19

Round 126
,G,1,5,2
,C,13,22,23
,P,9,20,5

Round 127
,G,1,11,8
,C,3,6,28
,P,9,31,3

Round 128
,G,0,1,1
,C,16,31,16
,P,11,21,3

Round 129
,G,3,19,8
,C,3,28,24
,P,1,13,1

Round 130
,G,3,6,10
,C,12,18,17
,P,8,17,9

Round 131
,G,2,13,12
,C,10,19,21
,P,2,19,2

Round 132
,G,1,9,10
,C,1,10,29
,P,23,16,1

Round 133
,G,1,12,36
,C,2,37,6
,P,0,6,0

Round 134
,G,1,4,19
,C,5,9,28
,P,25,8,1

Round 135
,G,1,8,6
,C,5,39,21
,P,3,16,1

Round 136
,G,1,10,2
,C,21,24,12
,P,12,18,0

Round 137
,G,2,22,14
,C,11,8,13
,P,8,14,8

Round 138
,G,1,0,0
,C,25,46,2
,P,1,25,0

Round 139
,G,2,11,17
,C,3,19,11
,P,14,20,3

Round 140
,G,1,0,0
,C,25,40,7
,P,14,13,0

Round 141
,G,1,38,14
,C,4,30,10
,P,0,3,0

Round 142
,G,2,1,1
,C,39,26,4
,P,15,11,1

Round 143
,G,4,34,17
,C,4,24,12
,P,0,4,1

Round 144
,G,2,1,0
,C,54,14,1
,P,14,14,0

Round 145
,G,4,48,16
,C,1,19,12
,P,0,0,0

Round 146
,G,2,6,8
,C,39,9,9
,P,14,9,4

Round 147
,G,4,50,17
,C,1,9,16
,P,1,2,0

Round 148
,G,1,2,0
,C,55,6,1
,P,17,18,0

Round 149
,G,3,55,14
,C,2,14,12
,P,0,0,0

Round 150
,G,1,1,0
,C,46,21,4
,P,12,13,2

Round 151
,G,2,34,11
,C,7,24,15
,P,0,5,2

Round 152
,G,1,2,0
,C,30,29,12
,P,13,13,0

Round 153
,G,2,33,12
,C,7,23,15
,P,0,7,1

Round 154
,G,1,1,0
,C,50,12,10
,P,15,11,0

Round 155
,G,2,23,17
,C,1,35,22
,P,0,0,0

Round 156
,G,2,1,0
,C,26,30,3
,P,15,22,1

Round 157
,G,2,27,17
,C,6,14,20
,P,5,9,0

