Round,a\b,G,C,P
,C,45,4,1
,P,12,29,1

Round 98
,G,8,0,0
,C,49,9,0
,P,8,25,1

Round 99
,G,9,0,0
,C,37,10,4
,P,17,23,0

Round 100
,G,8,2,0
,C,32,23,2
,P,13,20,0

Round 101
,G,0,0,4
,C,10,29,16
,P,12,26,3

Round 102
,G,3,7,0
,C,14,39,2
,P,7,26,2

Round 103
,G,0,8,1
,C,16,27,5
,P,6,37,0

Round 104
,G,0,11,0
,C,13,30,4
,P,8,34,0

Round 105
,G,3,6,2
,C,12,33,2
,P,10,29,3

Round 106
,G,3,6,0
,C,15,25,8
,P,7,35,1

Round 107
,G,3,8,0
,C,20,28,6
,P,3,31,1

Round 108
,G,4,2,1
,C,12,25,10
,P,4,39,3

Round 109
,G,6,5,0
,C,16,24,4
,P,8,37,0

Round 110
,G,8,10,0
,C,13,20,5
,P,6,38,0

Round 111
,G,1,1,0
,C,3,52,4
,P,2,36,1

Round 112
,G,0,14,1
,C,9,50,3
,P,2,21,0

Round 113
,G,3,19,0
,C,8,41,7
,P,3,19,0

Round 114
,G,6,8,1
,C,5,52,7
,P,1,20,0

Round 115
,G,4,18,1
,C,7,37,3
,P,3,27,0

Round 116
,G,0,26,1
,C,15,42,3
,P,1,12,0

Round 117
,G,0,18,0
,C,10,47,5
,P,3,14,3

Round 118
,G,4,15,1
,C,12,37,6
,P,1,24,0

Round 119
,G,3,15,0
,C,10,39,14
,P,3,16,0

Round 120
,G,2,18,0
,C,11,42,7
,P,0,19,1

Round 121
,G,7,14,0
,C,16,31,11
,P,7,11,3

Round 122
,G,0,4,18
,C,6,5,21
,P,1,44,1

Round 123
,G,0,8,5
,C,20,30,3
,P,7,24,3

Round 124
,G,1,6,1
,C,27,24,5
,P,6,26,4

Round 125
,G,0,14,0
,C,27,30,7
,P,0,22,0

Round 126
,G,4,14,2
,C,19,24,11
,P,6,20,0

Round 127
,G,0,10,1
,C,29,28,1
,P,7,20,4

Round 128
,G,4,16,0
,C,20,23,5
,P,8,23,1

Round 129
,G,0,10,8
,C,24,18,5
,P,5,29,1

Round 130
,G,2,16,1
,C,16,22,14
,P,4,22,3

Round 131
,G,0,7,20
,C,0,2,24
,P,10,34,3

Round 132
,G,7,0,7
,C,14,9,13
,P,6,35,9

Round 133
,G,4,1,5
,C,14,15,7
,P,12,34,8

Round 134
,G,1,5,4
,C,15,20,9
,P,9,27,10

Round 135
,G,1,10,2
,C,7,14,13
,P,12,28,13

Round 136
,G,3,5,5
,C,13,16,4
,P,16,33,5

Round 137
,G,2,2,4
,C,14,15,10
,P,12,30,11

Round 138
,G,3,5,15
,C,5,8,17
,P,20,21,6

Round 139
,G,1,0,18
,C,4,10,18
,P,3,41,5

Round 140
,G,0,13,10
,C,3,2,22
,P,16,32,2

Round 141
,G,2,0,13
,C,15,7,13
,P,15,29,6

Round 142
,G,0,5,19
,C,6,8,9
,P,19,30,4

Round 143
,G,3,7,24
,C,6,4,1
,P,22,31,2

Round 144
,G,0,11,22
,C,6,6,5
,P,20,28,2

Round 145
,G,6,15,7
,C,13,13,6
,P,6,29,5

Round 146
,G,3,4,24
,C,6,6,2
,P,24,30,1

Round 147
,G,4,12,15
,C,11,10,6
,P,14,23,5

Round 148
,G,1,10,20
,C,7,6,6
,P,23,26,1

Round 149
,G,1,3,25
,C,7,7,4
,P,23,29,1

Round 150
,G,3,21,12
,C,16,12,0
,P,12,19,5

Round 151
,G,2,7,21
,C,10,5,2
,P,17,31,5

Round 152
,G,1,6,23
,C,8,11,4
,P,19,25,3

Round 153
,G,0,1,33
,C,1,0,0
,P,33,32,0

Round 154
,G,4,8,18
,C,7,9,10
,P,24,20,0

Round 155
,G,4,7,15
,C,9,10,10
,P,17,21,7

Round 156
,G,1,6,19
,C,5,5,22
,P,21,19,2

Round 157
,G,3,4,19
,C,11,4,11
,P,14,32,2

Round 158
,G,3,4,10
,C,20,22,3
,P,17,18,3

Round 159
,G,1,7,10
,C,20,16,8
,P,14,20,4

Round 160
,G,3,1,28
,C,4,2,2
,P,24,33,3

