Round,a\b,G,C,P
Round 1
,G,0,0,3
,C,0,0,96
,P,0,0,1

Round 2
,G,12,23,0
,C,33,1,0
,P,24,7,0

Round 3
,G,1,2,30
,C,30,2,2
,P,2,30,1

Round 4
,G,12,13,9
,C,7,12,13
,P,14,8,12

Round 5
,G,1,32,0
,C,0,1,33
,P,32,0,1

Round 6
,G,26,2,4
,C,4,27,3
,P,3,4,27

Round 7
,G,27,6,0
,C,0,27,7
,P,6,0,27

Round 8
,G,15,15,2
,C,1,17,16
,P,17,1,16

Round 9
,G,17,2,15
,C,14,15,2
,P,2,16,17

Round 10
,G,29,0,2
,C,3,30,1
,P,1,3,31

Round 11
,G,16,15,17
,C,0,1,0
,P,15,18,18

Round 12
,G,6,0,44
,C,2,1,0
,P,41,0,6

Round 13
,G,39,0,11
,C,1,0,0
,P,10,0,39

Round 14
,G,40,0,9
,C,0,0,1
,P,10,0,40

Round 15
,G,36,0,13
,C,0,0,0
,P,14,0,37

Round 16
,G,44,0,5
,C,1,0,2
,P,5,0,43

Round 17
,G,1,0,48
,C,4,0,0
,P,45,0,2

Round 18
,G,50,0,0
,C,0,0,0
,P,0,0,50

Round 19
,G,34,0,16
,C,1,0,2
,P,15,0,32

Round 20
,G,29,0,21
,C,1,0,3
,P,20,0,26

Round 21
,G,0,0,47
,C,3,0,0
,P,47,0,3

Round 22
,G,8,0,36
,C,2,8,0
,P,35,1,10

Round 23
,G,15,1,26
,C,0,15,1
,P,27,0,15

Round 24
,G,8,1,34
,C,0,10,1
,P,36,0,10

Round 25
,G,30,0,5
,C,0,30,0
,P,5,0,30

Round 26
,G,8,1,35
,C,3,8,1
,P,34,1,9

Round 27
,G,11,0,32
,C,2,11,0
,P,31,1,12

Round 28
,G,0,1,48
,C,2,0,1
,P,47,1,0

Round 29
,G,9,0,37
,C,0,9,0
,P,36,0,9

Round 30
,G,5,2,40
,C,3,5,1
,P,38,0,6

Round 31
,G,1,4,43
,C,1,0,2
,P,46,0,3

Round 32
,G,37,0,13
,C,1,0,0
,P,12,0,37

Round 33
,G,21,0,29
,C,0,0,0
,P,29,0,21

Round 34
,G,37,0,10
,C,1,0,1
,P,12,1,38

Round 35
,G,28,0,21
,C,3,0,1
,P,19,1,27

Round 36
,G,39,0,9
,C,3,0,2
,P,8,1,38

Round 37
,G,19,0,31
,C,1,0,0
,P,30,1,18

Round 38
,G,23,0,27
,C,0,0,1
,P,27,0,22

Round 39
,G,25,0,23
,C,1,0,1
,P,24,1,25

Round 40
,G,24,0,25
,C,2,0,0
,P,24,0,25

Round 41
,G,47,0,3
,C,1,0,2
,P,2,0,45

Round 42
,G,32,0,16
,C,1,0,2
,P,17,1,31

Round 43
,G,33,0,15
,C,1,0,3
,P,16,1,31

Round 44
,G,46,0,3
,C,1,0,1
,P,3,0,46

Round 45
,G,45,0,5
,C,0,0,2
,P,5,1,42

Round 46
,G,29,0,21
,C,0,0,0
,P,21,0,29

Round 47
,G,20,0,29
,C,1,0,1
,P,29,0,20

Round 48
,G,30,0,18
,C,1,0,1
,P,19,0,31

Round 49
,G,25,0,26
,C,1,0,1
,P,24,0,23

Round 50
,G,31,0,17
,C,0,0,1
,P,19,0,32

Round 51
,G,25,0,24
,C,2,0,0
,P,23,0,26

Round 52
,G,32,0,18
,C,2,0,0
,P,16,0,32

Round 53
,G,39,0,10
,C,0,0,2
,P,11,1,37

Round 54
,G,24,0,25
,C,0,0,0
,P,26,1,24

Round 55
,G,20,0,29
,C,1,0,1
,P,29,0,20

Round 56
,G,50,0,1
,C,0,0,3
,P,0,1,45

Round 57
,G,31,0,21
,C,0,0,0
,P,19,0,29

Round 58
,G,12,0,37
,C,1,0,2
,P,37,0,11

Round 59
,G,34,0,13
,C,3,0,1
,P,13,1,35

Round 60
,G,19,0,30
,C,1,0,0
,P,30,0,20

Round 61
,G,31,0,20
,C,1,0,0
,P,18,1,29

Round 62
,G,48,0,2
,C,0,0,0
,P,2,0,48

Round 63
,G,19,0,30
,C,1,0,1
,P,29,1,19

Round 64
,G,0,0,49
,C,1,0,1
,P,48,1,0

Round 65
,G,10,0,39
,C,1,0,2
,P,39,0,9

Round 66
,G,29,0,20
,C,2,0,1
,P,19,0,29

Round 67
,G,24,0,24
,C,0,0,3
,P,26,0,23

Round 68
,G,50,0,0
,C,0,0,0
,P,0,0,50

Round 69
,G,49,0,0
,C,0,0,1
,P,1,0,49

Round 70
,G,8,0,38
,C,0,0,4
,P,42,0,8

Round 71
,G,35,0,16
,C,0,0,0
,P,15,0,34

Round 72
,G,25,0,22
,C,0,0,3
,P,25,0,25

Round 73
,G,10,0,38
,C,0,0,1
,P,40,0,11

Round 74
,G,33,0,15
,C,0,0,1
,P,17,0,34

Round 75
,G,24,0,24
,C,1,0,1
,P,25,0,25

Round 76
,G,23,0,27
,C,0,1,1
,P,27,0,21

Round 77
,G,5,0,43
,C,1,0,1
,P,44,0,6

Round 78
,G,13,0,36
,C,1,0,0
,P,36,0,14

Round 79
,G,37,0,12
,C,1,0,0
,P,12,0,38

Round 80
,G,26,0,23
,C,0,0,0
,P,24,0,27

Round 81
,G,50,0,0
,C,0,0,0
,P,0,0,50

Round 82
,G,28,0,21
,C,0,0,2
,P,22,0,27

Round 83
,G,6,0,43
,C,0,0,1
,P,43,1,6

Round 84
,G,40,0,10
,C,1,0,0
,P,9,0,40

Round 85
,G,7,0,43
,C,0,0,0
,P,43,0,7

Round 86
,G,29,0,19
,C,0,0,1
,P,21,0,30

Round 87
,G,40,0,9
,C,1,0,1
,P,9,0,40

Round 88
,G,14,0,33
,C,3,0,1
,P,33,0,16

Round 89
,G,24,0,27
,C,0,0,0
,P,26,0,23

Round 90
,G,24,0,25
,C,1,0,1
,P,25,0,24

Round 91
,G,21,0,28
,C,0,0,0
,P,29,0,22

Round 92
,G,7,0,41
,C,1,0,1
,P,42,0,8

Round 93
,G,19,0,29
,C,0,0,2
,P,31,0,19

Round 94
,G,32,0,17
,C,1,0,0
,P,17,0,33

Round 95
,G,6,0,43
,C,1,0,0
,P,43,0,7

Round 96
,G,29,0,21
,C,1,0,0
,P,20,0,29

Round 97
,G,21,0,29
,C,0,0,0
,P,29,0,21

Round 98
,G,48,0,1
,C,0,0,0
,P,2,0,49

Round 99
,G,11,0,38
,C,0,0,1
,P,39,0,11

Round 100
,G,35,0,15
,C,0,0,0
,P,15,0,35

Round 101
,G,11,0,38
,C,0,0,1
,P,39,0,11

Round 102
,G,37,0,11
,C,1,0,1
,P,12,0,38

Round 103
,G,28,0,21
,C,2,0,0
,P,20,0,29

Round 104
,G,15,0,32
,C,0,0,3
,P,35,0,15

Round 105
,G,18,0,30
,C,1,0,2
,P,31,0,18

Round 106
,G,15,0,31
,C,2,0,2
,P,33,0,17

Round 107
,G,12,0,36
,C,0,0,1
,P,38,0,13

Round 108
,G,13,0,37
,C,2,0,0
,P,35,0,13

Round 109
,G,16,0,33
,C,1,0,1
,P,33,0,16

Round 110
,G,28,0,22
,C,0,0,0
,P,22,0,28

Round 111
,G,23,0,25
,C,0,0,2
,P,27,0,23

Round 112
,G,13,0,35
,C,0,0,2
,P,37,0,13

Round 113
,G,20,0,30
,C,1,0,0
,P,29,0,20

Round 114
,G,37,0,11
,C,0,0,0
,P,13,0,39

Round 115
,G,35,0,14
,C,0,0,1
,P,15,0,35

Round 116
,G,21,0,29
,C,1,0,0
,P,28,0,21

Round 117
,G,19,0,27
,C,3,0,3
,P,28,0,20

Round 118
,G,36,0,13
,C,0,0,1
,P,14,0,36

Round 119
,G,50,0,0
,C,0,0,0
,P,0,0,50

Round 120
,G,9,0,40
,C,2,0,0
,P,39,0,10

Round 121
,G,23,0,25
,C,1,0,1
,P,26,0,24

Round 122
,G,36,0,14
,C,1,0,0
,P,13,0,36

Round 123
,G,4,0,45
,C,0,0,1
,P,45,1,4

Round 124
,G,7,0,41
,C,1,0,2
,P,42,0,7

Round 125
,G,2,0,45
,C,0,0,3
,P,48,0,2

Round 126
,G,9,0,40
,C,1,0,1
,P,40,0,9

Round 127
,G,46,0,3
,C,2,0,0
,P,2,0,47

Round 128
,G,16,0,33
,C,2,0,0
,P,32,0,17

Round 129
,G,14,0,34
,C,0,0,2
,P,36,0,14

Round 130
,G,37,0,12
,C,0,0,1
,P,13,0,37

Round 131
,G,6,0,42
,C,0,0,1
,P,44,0,7

Round 132
,G,20,0,30
,C,0,0,1
,P,30,0,19

Round 133
,G,12,0,36
,C,0,0,0
,P,38,0,14

Round 134
,G,37,0,12
,C,0,0,0
,P,13,0,38

Round 135
,G,4,0,45
,C,1,0,1
,P,45,0,4

Round 136
,G,12,0,38
,C,2,0,0
,P,36,0,12

Round 137
,G,37,0,15
,C,0,0,0
,P,13,0,35

Round 138
,G,25,0,23
,C,1,0,0
,P,24,0,27

Round 139
,G,6,0,44
,C,0,0,0
,P,44,0,6

Round 140
,G,13,0,35
,C,3,0,1
,P,34,0,14

Round 141
,G,8,0,40
,C,1,0,1
,P,41,0,9

Round 142
,G,49,0,0
,C,0,0,1
,P,1,0,49

Round 143
,G,18,0,31
,C,0,0,2
,P,32,0,17

Round 144
,G,10,0,38
,C,2,0,0
,P,38,0,12

Round 145
,G,36,0,13
,C,0,0,0
,P,14,0,37

Round 146
,G,12,0,37
,C,0,0,0
,P,38,0,13

Round 147
,G,20,0,30
,C,2,0,0
,P,28,0,20

Round 148
,G,29,0,21
,C,0,0,0
,P,21,0,29

Round 149
,G,24,0,23
,C,1,0,2
,P,25,0,25

Round 150
,G,18,0,31
,C,0,0,0
,P,32,0,19

Round 151
,G,36,0,11
,C,0,0,3
,P,14,0,36

Round 152
,G,38,0,9
,C,0,0,2
,P,12,0,39

Round 153
,G,36,0,14
,C,0,0,0
,P,14,0,36

Round 154
,G,31,0,18
,C,2,0,0
,P,17,0,32

Round 155
,G,15,0,33
,C,1,0,1
,P,34,0,16

Round 156
,G,41,0,8
,C,0,0,0
,P,9,0,42

Round 157
,G,50,0,0
,C,0,0,0
,P,0,0,50

Round 158
,G,45,0,5
,C,1,0,0
,P,4,0,45

Round 159
,G,22,0,25
,C,0,0,2
,P,28,0,23

Round 160
,G,27,0,22
,C,2,0,2
,P,21,0,26

Round 161
,G,20,0,29
,C,0,0,0
,P,30,0,21

Round 162
,G,28,0,20
,C,1,0,1
,P,21,0,29

