Round,a\b,G,C,P
Round 1
,G,0,96,0
,C,0,4,0
,P,0,0,0

Round 2
,G,48,2,50
,C,0,0,0
,P,0,0,0

Round 3
,G,1,0,22
,C,1,0,39
,P,17,0,20

Round 4
,G,16,15,2
,C,2,17,15
,P,15,2,16

Round 5
,G,14,17,0
,C,1,16,19
,P,18,0,15

Round 6
,G,5,16,11
,C,10,7,17
,P,16,11,7

Round 7
,G,18,15,1
,C,1,18,15
,P,14,0,18

Round 8
,G,0,29,4
,C,4,0,30
,P,29,4,0

Round 9
,G,14,20,0
,C,0,13,20
,P,19,0,14

Round 10
,G,5,28,0
,C,0,5,29
,P,28,0,5

Round 11
,G,7,12,15
,C,15,6,12
,P,11,15,7

Round 12
,G,16,4,13
,C,13,18,3
,P,4,13,16

Round 13
,G,6,9,18
,C,18,7,9
,P,9,17,7

Round 14
,G,16,3,14
,C,14,16,4
,P,3,14,16

Round 15
,G,1,9,22
,C,23,1,12
,P,9,23,0

Round 16
,G,0,28,5
,C,6,0,28
,P,26,7,0

Round 17
,G,3,14,17
,C,17,3,14
,P,13,16,3

Round 18
,G,14,6,13
,C,16,14,4
,P,5,15,13

Round 19
,G,28,5,0
,C,0,28,5
,P,5,0,29

Round 20
,G,7,21,5
,C,6,6,21
,P,21,5,8

Round 21
,G,16,17,16
,C,0,2,2
,P,17,14,16

Round 22
,G,11,3,36
,C,0,0,1
,P,37,1,11

Round 23
,G,29,1,20
,C,1,0,2
,P,19,0,28

Round 24
,G,25,1,24
,C,0,0,1
,P,25,0,24

Round 25
,G,14,1,35
,C,2,0,1
,P,33,0,14

Round 26
,G,44,0,6
,C,0,0,1
,P,5,0,44

Round 27
,G,25,0,25
,C,1,0,3
,P,24,0,22

Round 28
,G,50,0,0
,C,0,0,1
,P,0,1,48

Round 29
,G,25,0,24
,C,0,0,4
,P,25,0,22

Round 30
,G,24,1,25
,C,0,0,1
,P,25,0,24

Round 31
,G,43,0,5
,C,1,0,3
,P,6,0,42

Round 32
,G,21,1,28
,C,0,0,1
,P,28,1,20

Round 33
,G,2,0,47
,C,0,0,1
,P,48,0,2

Round 34
,G,32,2,16
,C,0,0,1
,P,17,1,31

Round 35
,G,17,0,30
,C,0,0,2
,P,33,0,18

Round 36
,G,30,1,19
,C,0,0,1
,P,18,2,29

Round 37
,G,49,0,0
,C,1,0,1
,P,0,0,49

Round 38
,G,50,0,0
,C,0,0,1
,P,0,1,48

Round 39
,G,44,0,4
,C,0,0,0
,P,6,0,46

Round 40
,G,20,1,29
,C,0,0,0
,P,29,0,21

Round 41
,G,2,0,46
,C,5,0,2
,P,43,0,2

Round 42
,G,0,2,47
,C,1,0,1
,P,48,1,0

Round 43
,G,4,2,43
,C,1,3,2
,P,42,0,3

Round 44
,G,10,1,34
,C,0,9,1
,P,35,0,10

Round 45
,G,3,1,43
,C,0,4,1
,P,44,0,4

Round 46
,G,0,2,48
,C,0,0,1
,P,49,0,0

Round 47
,G,9,2,31
,C,5,10,1
,P,30,0,12

Round 48
,G,5,0,42
,C,1,4,0
,P,42,0,6

Round 49
,G,3,0,46
,C,1,2,0
,P,45,0,3

Round 50
,G,11,1,31
,C,2,10,1
,P,31,2,11

Round 51
,G,11,2,30
,C,0,11,2
,P,32,0,12

Round 52
,G,33,0,0
,C,0,33,0
,P,0,0,34

Round 53
,G,4,1,41
,C,1,4,1
,P,42,1,5

Round 54
,G,24,0,13
,C,0,25,0
,P,13,0,25

Round 55
,G,16,2,22
,C,0,17,2
,P,24,0,17

Round 56
,G,5,0,42
,C,0,6,0
,P,41,0,6

Round 57
,G,26,2,11
,C,0,24,2
,P,11,0,24

Round 58
,G,3,2,42
,C,2,3,0
,P,43,1,4

Round 59
,G,0,1,48
,C,1,0,1
,P,48,0,1

Round 60
,G,1,1,47
,C,1,0,0
,P,48,0,2

Round 61
,G,4,4,41
,C,0,0,1
,P,44,0,6

Round 62
,G,14,2,34
,C,0,0,0
,P,36,0,14

Round 63
,G,23,0,27
,C,0,0,0
,P,27,0,23

Round 64
,G,50,0,0
,C,0,0,0
,P,0,2,48

Round 65
,G,11,0,38
,C,2,0,1
,P,37,0,11

Round 66
,G,44,0,6
,C,0,0,0
,P,6,1,43

Round 67
,G,50,0,0
,C,0,0,1
,P,0,0,49

Round 68
,G,48,0,2
,C,0,0,0
,P,2,3,45

Round 69
,G,23,0,25
,C,1,0,1
,P,26,0,24

Round 70
,G,46,0,4
,C,0,0,0
,P,4,1,45

Round 71
,G,23,0,26
,C,1,0,3
,P,26,0,21

Round 72
,G,24,0,26
,C,0,0,0
,P,25,1,24

Round 73
,G,9,0,40
,C,0,0,0
,P,41,0,10

Round 74
,G,35,0,15
,C,0,0,0
,P,15,2,33

Round 75
,G,40,0,10
,C,0,0,2
,P,10,0,38

Round 76
,G,6,1,43
,C,0,0,0
,P,44,0,6

Round 77
,G,42,0,8
,C,0,0,1
,P,8,0,41

Round 78
,G,32,0,18
,C,0,0,0
,P,17,3,30

Round 79
,G,19,0,31
,C,0,0,0
,P,31,0,19

Round 80
,G,42,1,7
,C,0,0,0
,P,7,0,43

Round 81
,G,9,0,40
,C,0,0,0
,P,41,0,10

Round 82
,G,36,0,14
,C,0,0,0
,P,13,0,37

Round 83
,G,33,0,16
,C,1,0,1
,P,16,0,33

Round 84
,G,14,2,34
,C,0,0,0
,P,34,1,15

Round 85
,G,13,0,36
,C,1,0,0
,P,36,0,14

Round 86
,G,22,1,27
,C,0,0,0
,P,24,4,22

Round 87
,G,45,0,5
,C,2,0,0
,P,3,0,45

Round 88
,G,4,1,45
,C,0,0,0
,P,44,1,5

Round 89
,G,36,0,13
,C,2,0,0
,P,12,0,37

Round 90
,G,46,1,3
,C,0,0,0
,P,3,0,47

Round 91
,G,50,0,0
,C,0,0,2
,P,0,0,48

Round 92
,G,12,0,38
,C,0,0,0
,P,35,2,13

Round 93
,G,34,0,15
,C,1,0,2
,P,15,0,33

Round 94
,G,9,1,40
,C,0,0,0
,P,41,1,8

Round 95
,G,49,0,1
,C,0,0,1
,P,1,0,48

Round 96
,G,24,1,25
,C,0,0,0
,P,26,0,24

Round 97
,G,26,0,23
,C,0,0,1
,P,24,0,26

Round 98
,G,33,0,17
,C,0,0,0
,P,16,0,34

Round 99
,G,23,0,26
,C,1,0,1
,P,26,0,23

Round 100
,G,10,1,39
,C,0,0,0
,P,40,0,10

Round 101
,G,37,0,13
,C,1,0,3
,P,12,0,34

Round 102
,G,24,0,26
,C,0,0,0
,P,25,2,23

Round 103
,G,19,0,30
,C,0,0,2
,P,31,0,18

Round 104
,G,9,1,40
,C,0,0,0
,P,39,2,9

Round 105
,G,48,0,1
,C,0,0,0
,P,2,0,49

Round 106
,G,35,1,14
,C,0,0,0
,P,15,0,35

Round 107
,G,28,0,19
,C,3,0,2
,P,19,0,29

Round 108
,G,40,0,10
,C,0,0,0
,P,9,1,40

Round 109
,G,22,0,26
,C,1,0,1
,P,27,0,23

Round 110
,G,47,0,3
,C,0,0,0
,P,4,0,46

Round 111
,G,4,0,45
,C,0,0,0
,P,46,0,5

Round 112
,G,35,1,14
,C,0,0,0
,P,14,0,36

Round 113
,G,16,0,32
,C,3,0,0
,P,31,0,18

Round 114
,G,27,1,22
,C,0,0,0
,P,22,0,28

Round 115
,G,39,0,10
,C,0,0,2
,P,11,0,38

Round 116
,G,6,5,39
,C,0,0,0
,P,43,0,7

Round 117
,G,41,0,8
,C,1,0,2
,P,8,0,40

Round 118
,G,30,1,19
,C,0,0,0
,P,17,3,30

Round 119
,G,24,0,24
,C,2,0,0
,P,24,0,26

Round 120
,G,21,0,29
,C,0,0,0
,P,28,1,21

Round 121
,G,17,0,32
,C,0,0,0
,P,33,0,18

Round 122
,G,4,1,45
,C,0,0,0
,P,45,1,4

Round 123
,G,46,0,3
,C,0,0,1
,P,4,0,46

Round 124
,G,29,2,19
,C,0,0,0
,P,19,0,31

Round 125
,G,7,0,42
,C,3,0,0
,P,40,0,8

Round 126
,G,13,5,32
,C,0,0,0
,P,36,0,14

Round 127
,G,47,0,3
,C,1,0,0
,P,2,0,47
