Round,a\b,G,C,P
,C,14,24,18
,P,8,16,4

Round 98
,G,3,6,5
,C,25,21,17
,P,9,11,3

Round 99
,G,0,5,0
,C,15,13,36
,P,6,25,0

Round 100
,G,0,0,1
,C,1,35,39
,P,2,20,2

Round 101
,G,2,17,11
,C,11,15,18
,P,7,11,8

Round 102
,G,1,4,5
,C,4,44,28
,P,3,10,1

Round 103
,G,0,2,3
,C,2,50,21
,P,0,19,3

Round 104
,G,0,3,1
,C,6,36,24
,P,1,28,1

Round 105
,G,0,10,1
,C,3,32,27
,P,0,25,2

Round 106
,G,0,5,2
,C,8,31,23
,P,1,27,3

Round 107
,G,0,2,1
,C,17,20,19
,P,1,30,10

Round 108
,G,0,2,0
,C,10,53,13
,P,1,18,3

Round 109
,G,0,2,0
,C,4,81,6
,P,1,6,0

Round 110
,G,0,18,3
,C,8,25,27
,P,5,12,2

Round 111
,G,0,9,3
,C,8,27,23
,P,3,23,4

Round 112
,G,0,5,0
,C,13,37,19
,P,0,25,1

Round 113
,G,0,12,5
,C,4,13,33
,P,2,26,5

Round 114
,G,0,1,1
,C,3,28,28
,P,2,33,4

Round 115
,G,0,7,2
,C,4,56,10
,P,0,19,2

Round 116
,G,0,34,2
,C,4,14,36
,P,1,8,1

Round 117
,G,0,21,7
,C,2,26,27
,P,1,16,0

Round 118
,G,1,24,2
,C,5,33,27
,P,1,7,0

Round 119
,G,0,6,1
,C,0,62,8
,P,0,19,4

Round 120
,G,3,14,8
,C,8,23,23
,P,3,15,3

Round 121
,G,2,11,9
,C,1,7,36
,P,0,32,2

Round 122
,G,2,16,5
,C,1,17,27
,P,3,22,7

Round 123
,G,7,20,9
,C,2,23,30
,P,1,7,1

Round 124
,G,2,11,11
,C,4,13,32
,P,2,22,3

Round 125
,G,1,10,12
,C,2,18,33
,P,2,15,7

Round 126
,G,5,6,8
,C,3,26,29
,P,1,17,5

Round 127
,G,4,16,11
,C,6,2,33
,P,0,19,9

Round 128
,G,5,13,10
,C,3,19,29
,P,1,18,2

Round 129
,G,8,21,10
,C,4,20,29
,P,0,8,0

Round 130
,G,6,19,13
,C,4,21,28
,P,1,8,0

Round 131
,G,2,6,6
,C,0,9,40
,P,1,35,1

Round 132
,G,1,13,23
,C,3,16,29
,P,1,12,2

Round 133
,G,0,15,21
,C,1,20,29
,P,2,10,2

Round 134
,G,3,14,18
,C,2,19,29
,P,1,9,5

Round 135
,G,1,11,21
,C,4,11,31
,P,3,11,7

Round 136
,G,0,18,9
,C,12,9,36
,P,4,12,0

Round 137
,G,3,5,3
,C,1,2,47
,P,0,36,3

Round 138
,G,6,9,15
,C,6,7,27
,P,2,16,12

Round 139
,G,6,11,24
,C,6,5,31
,P,1,7,9

Round 140
,G,1,14,22
,C,6,6,32
,P,4,14,1

Round 141
,G,2,19,16
,C,2,18,32
,P,1,5,5

Round 142
,G,4,10,8
,C,20,15,20
,P,7,12,4

Round 143
,G,10,8,2
,C,36,17,12
,P,0,13,2

Round 144
,G,6,10,8
,C,20,19,16
,P,5,11,5

Round 145
,G,6,15,9
,C,19,12,22
,P,4,8,5

Round 146
,G,9,10,8
,C,23,16,14
,P,4,8,8

Round 147
,G,6,10,10
,C,24,16,13
,P,8,7,6

Round 148
,G,6,14,1
,C,34,10,14
,P,5,11,5

Round 149
,G,3,18,9
,C,24,4,23
,P,3,9,7

Round 150
,G,5,17,0
,C,31,17,13
,P,3,12,2

Round 151
,G,1,21,2
,C,13,26,21
,P,7,6,3

Round 152
,G,6,16,2
,C,21,9,18
,P,9,13,6

Round 153
,G,7,15,1
,C,17,11,12
,P,18,18,1

Round 154
,G,3,20,2
,C,29,5,10
,P,15,15,1

Round 155
,G,6,12,5
,C,32,12,7
,P,12,12,2

Round 156
,G,2,18,2
,C,26,14,27
,P,6,4,1

Round 157
,G,6,13,6
,C,25,9,16
,P,7,13,5

Round 158
,G,5,15,4
,C,21,20,13
,P,10,9,3

Round 159
,G,5,18,4
,C,22,14,14
,P,14,8,1

Round 160
,G,1,19,4
,C,12,22,26
,P,5,9,2

Round 161
,G,8,19,9
,C,13,9,24
,P,9,6,3

Round 162
,G,7,16,15
,C,13,12,17
,P,13,5,2

Round 163
,G,8,16,14
,C,11,10,9
,P,18,10,4

Round 164
,G,5,14,26
,C,12,6,15
,P,7,9,6

Round 165
,G,9,14,14
,C,12,7,23
,P,10,9,2

Round 166
,G,6,11,30
,C,8,9,18
,P,8,7,3

Round 167
,G,3,6,33
,C,6,14,23
,P,8,5,2

Round 168
,G,10,5,32
,C,5,15,19
,P,7,5,2

Round 169
,G,14,18,8
,C,18,3,11
,P,15,10,3

Round 170
,G,13,11,14
,C,11,5,17
,P,12,12,5

Round 171
,G,7,14,18
,C,13,4,12
,P,12,11,9

Round 172
,G,10,10,10
,C,18,8,9
,P,17,11,7

Round 173
,G,8,13,16
,C,6,10,14
,P,15,12,6

Round 174
,G,10,12,15
,C,11,13,15
,P,8,11,5

Round 175
,G,8,19,15
,C,8,13,21
,P,3,9,4

Round 176
,G,5,13,15
,C,13,9,19
,P,7,13,6

Round 177
,G,8,8,21
,C,10,8,17
,P,13,11,4

Round 178
,G,13,11,16
,C,12,7,11
,P,19,8,3

Round 179
,G,7,10,15
,C,21,9,7
,P,13,12,6

Round 180
,G,6,13,21
,C,10,11,21
,P,6,9,3

Round 181
,G,9,13,6
,C,6,12,22
,P,15,11,6

Round 182
,G,3,5,20
,C,15,9,23
,P,4,17,4

Round 183
,G,0,12,12
,C,9,11,39
,P,3,7,7

Round 184
,G,13,1,2
,C,13,29,15
,P,12,15,0

Round 185
,G,6,13,21
,C,0,26,28
,P,0,2,4

Round 186
,G,2,12,16
,C,4,13,37
,P,8,3,5

Round 187
,G,6,7,4
,C,15,12,23
,P,13,14,6

Round 188
,G,3,7,8
,C,14,13,26
,P,10,12,7

Round 189
,G,3,11,12
,C,8,12,35
,P,5,12,2

Round 190
,G,2,8,11
,C,18,8,19
,P,8,15,11

Round 191
,G,2,8,19
,C,13,21,17
,P,8,7,5

Round 192
,G,5,8,13
,C,11,14,17
,P,16,13,3

Round 193
,G,0,11,13
,C,18,10,25
,P,9,10,4

Round 194
,G,1,11,9
,C,26,9,17
,P,7,13,7

Round 195
,G,3,3,21
,C,10,13,24
,P,11,14,1

Round 196
,G,10,8,4
,C,8,6,27
,P,17,20,0

Round 197
,G,3,15,8
,C,18,4,24
,P,11,13,4

Round 198
,G,5,11,15
,C,5,4,39
,P,2,6,13

Round 199
,G,4,7,13
,C,6,9,35
,P,8,11,7

Round 200
,G,3,8,18
,C,9,16,23
,P,9,10,4

Round 201
,G,8,4,4
,C,16,17,21
,P,17,11,2

Round 202
,G,2,10,14
,C,7,12,32
,P,5,10,8

Round 203
,G,1,8,16
,C,5,12,33
,P,1,11,13

Round 204
,G,0,8,20
,C,8,15,26
,P,8,11,4

Round 205
,G,0,18,22
,C,1,16,32
,P,1,5,5

Round 206
,G,0,12,26
,C,2,15,37
,P,1,5,2

Round 207
,G,3,9,12
,C,21,11,11
,P,15,16,2

Round 208
,G,2,11,14
,C,5,13,33
,P,7,7,8

Round 209
,G,3,13,15
,C,15,7,20
,P,10,11,6

Round 210
,G,0,15,16
,C,10,2,36
,P,10,9,2

Round 211
,G,3,10,11
,C,8,10,31
,P,12,6,9

Round 212
,G,1,7,9
,C,16,8,26
,P,12,12,9

Round 213
,G,1,14,15
,C,7,10,33
,P,6,5,9

Round 214
,G,1,2,13
,C,24,15,11
,P,14,15,5

Round 215
,G,0,16,14
,C,5,14,36
,P,1,3,11

Round 216
,G,0,10,15
,C,6,15,33
,P,7,7,7

Round 217
,G,1,10,13
,C,7,11,23
,P,12,17,6

Round 218
,G,1,6,12
,C,13,10,12
,P,20,19,7

Round 219
,G,0,11,16
,C,14,13,22
,P,6,12,6

Round 220
,G,3,13,8
,C,9,16,29
,P,5,12,5

Round 221
,G,3,9,12
,C,11,13,28
,P,10,10,4

Round 222
,G,3,13,11
,C,4,15,42
,P,2,7,3

Round 223
,G,0,18,17
,C,0,13,47
,P,0,4,1

Round 224
,G,4,20,13
,C,4,11,32
,P,7,5,4

Round 225
,G,0,20,11
,C,0,20,43
,P,0,4,2

Round 226
,G,2,10,12
,C,6,17,27
,P,8,15,3

Round 227
,G,1,23,7
,C,5,12,35
,P,4,9,4

Round 228
,G,0,22,12
,C,0,29,35
,P,0,2,0

Round 229
,G,0,27,10
,C,1,21,36
,P,0,3,2

Round 230
,G,1,7,18
,C,3,18,41
,P,2,7,3

Round 231
,G,0,13,20
,C,1,16,38
,P,1,6,5

Round 232
,G,0,9,20
,C,2,27,30
,P,0,10,2

Round 233
,G,0,37,6
,C,0,12,42
,P,0,3,0

Round 234
,G,1,13,15
,C,4,17,35
,P,6,7,2

Round 235
,G,0,39,6
,C,0,6,48
,P,0,1,0

Round 236
,G,3,24,9
,C,5,5,36
,P,5,11,2

Round 237
,G,0,25,14
,C,0,12,48
,P,0,1,0

Round 238
,G,2,20,11
,C,3,10,42
,P,2,6,4

Round 239
,G,0,22,13
,C,1,14,47
,P,0,2,1

Round 240
,G,0,32,9
,C,1,7,48
,P,1,1,1

Round 241
,G,0,48,0
,C,0,0,50
,P,0,2,0

Round 242
,G,2,43,3
,C,2,1,40
,P,3,4,2

Round 243
,G,0,44,3
,C,1,3,44
,P,0,3,2

Round 244
,G,2,42,4
,C,3,0,41
,P,2,4,2

Round 245
,G,2,39,4
,C,3,3,39
,P,2,5,3

Round 246
,G,1,42,4
,C,1,5,43
,P,0,2,2

Round 247
,G,0,49,0
,C,0,0,50
,P,0,1,0

Round 248
,G,4,32,7
,C,2,8,42
,P,2,1,2

Round 249
,G,0,49,2
,C,0,0,48
,P,0,1,0

Round 250
,G,2,40,3
,C,3,3,41
,P,5,3,0

Round 251
,G,0,48,3
,C,0,0,47
,P,0,2,0

Round 252
,G,3,33,6
,C,4,5,38
,P,5,6,0

Round 253
,G,0,46,1
,C,0,1,48
,P,0,3,1

Round 254
,G,5,21,4
,C,5,20,41
,P,0,4,0

Round 255
,G,0,46,1
,C,0,0,49
,P,0,4,0

